Vendedor;Comprador;Data da Venda;Nome do Produto;Mês;Valor Unitário;Valor Total;Quantidade;Loja;Município da Loja;Categoria do Produto
Juliana Nunes;Nicolas Cunha;09/03/2025;Vinho;March;2,85;2,85;1;Mercado do Bairro;Rondonópolis;Bebidas
Luna das Neves;Leonardo Duarte;20/10/2024;Óleo;October;15,52;139,68;9;Super Econômico;Sinop;Alimentos
Ryan Azevedo;Gabrielly Farias;18/08/2024;Esponja;August;31,56;284,04;9;Super Econômico;Várzea Grande;Limpeza
Juliana Nunes;Joana Novaes;12/01/2025;Macarrão;January;47,24;425,16;9;Supermercado Central;Tangará da Serra;Alimentos
Dra. Lívia Gonçalves;Maria Clara da Rosa;13/06/2024;Ração para Gatos;June;11,57;69,42;6;Super Econômico;Várzea Grande;Pet
Samuel Nascimento;Sra. Agatha Jesus;03/03/2025;Shampoo Pet;March;30,57;183,42;6;Super Econômico;Várzea Grande;Pet
João Vitor Moura;Felipe Cardoso;09/03/2025;Sabão em Pó;March;21,11;126,66;6;Supermercado Central;Sinop;Limpeza
João Lucas Correia;Igor Gonçalves;13/05/2024;Água Sanitária;May;7,25;14,5;2;Supermercado Central;Rondonópolis;Limpeza
Milena Pires;Joana Campos;15/10/2024;Sabonete;October;16,89;16,89;1;Supermercado Central;Rondonópolis;Higiene
Elisa Alves;Emilly Moura;21/02/2025;Creme Dental;February;23,58;235,8;10;Atacadão Popular;Sinop;Higiene
Milena Pires;Eloah Gonçalves;06/09/2024;Feijão;September;38,34;153,36;4;Mercado do Bairro;Cuiabá;Alimentos
Dr. Vitor Gabriel Almeida;Eloah Gonçalves;20/03/2025;Areia Higiênica;March;12,5;37,5;3;Supermercado Central;Várzea Grande;Pet
Davi Luiz Silveira;Ryan da Rocha;04/03/2025;Sabão em Pó;March;40,37;242,22;6;Mercado do Bairro;Cuiabá;Limpeza
João Vitor Moura;Emilly Moura;31/12/2024;Areia Higiênica;December;40,96;163,84;4;Supermercado Central;Tangará da Serra;Pet
Ryan Azevedo;Srta. Emanuella Almeida;20/09/2024;Arroz;September;42,76;128,28;3;Atacadão Popular;Rondonópolis;Alimentos
Milena Pires;Henrique Azevedo;04/03/2025;Ração para Cães;March;10,15;10,15;1;Super Econômico;Rondonópolis;Pet
Davi Luiz Silveira;Rafaela Ramos;06/04/2025;Areia Higiênica;April;25,75;103,0;4;Super Econômico;Sinop;Pet
Milena Pires;Eloah Gonçalves;13/01/2025;Sabão em Pó;January;24,2;242,0;10;Supermercado Central;Cuiabá;Limpeza
Ana Laura Pereira;Pedro Teixeira;28/01/2025;Arroz;January;11,64;11,64;1;Super Econômico;Sinop;Alimentos
Dra. Clara da Paz;Beatriz da Rosa;05/03/2025;Arroz;March;40,69;40,69;1;Atacadão Popular;Rondonópolis;Alimentos
João Vitor Moura;Sophie Nascimento;05/01/2025;Desinfetante;January;7,15;42,9;6;Mercado do Bairro;Várzea Grande;Limpeza
Juliana Nunes;Luiz Felipe Oliveira;23/08/2024;Shampoo;August;41,0;246,0;6;Mercado do Bairro;Várzea Grande;Higiene
Juliana Nunes;Sophie Nascimento;18/03/2025;Shampoo;March;15,13;136,17;9;Super Econômico;Sinop;Higiene
Luna das Neves;Isis Farias;21/06/2024;Refrigerante;June;26,55;185,85;7;Mercado do Bairro;Tangará da Serra;Bebidas
Elisa Alves;Sra. Agatha Jesus;29/08/2024;Shampoo;August;13,25;66,25;5;Supermercado Central;Rondonópolis;Higiene
Dra. Clara da Paz;Ana Clara da Cunha;06/03/2025;Detergente;March;21,15;105,75;5;Super Econômico;Várzea Grande;Limpeza
Ryan Azevedo;Sra. Catarina Almeida;30/03/2025;Areia Higiênica;March;49,95;249,75;5;Atacadão Popular;Sinop;Pet
João Vitor Moura;Otávio Nunes;24/11/2024;Ração para Gatos;November;45,78;183,12;4;Supermercado Central;Tangará da Serra;Pet
Sr. Pietro Moraes;Raul Silveira;12/12/2024;Sabonete;December;26,55;238,95;9;Supermercado Central;Várzea Grande;Higiene
Ryan Azevedo;Srta. Mariane Moraes;18/06/2024;Arroz;June;43,5;43,5;1;Supermercado Central;Várzea Grande;Alimentos
Isabel Melo;Maria Clara da Rosa;30/08/2024;Água Sanitária;August;13,27;79,62;6;Supermercado Central;Tangará da Serra;Limpeza
Ana Laura Pereira;Luna Almeida;26/11/2024;Óleo;November;44,53;311,71;7;Supermercado Central;Sinop;Alimentos
Dra. Clara da Paz;Calebe Mendes;06/04/2025;Ração para Gatos;April;30,64;214,48;7;Super Econômico;Sinop;Pet
Milena Pires;Julia Viana;23/04/2024;Petisco;April;4,5;13,5;3;Mercado do Bairro;Cuiabá;Pet
Dra. Lívia Gonçalves;André Freitas;18/10/2024;Sabão em Pó;October;7,64;76,4;10;Atacadão Popular;Rondonópolis;Limpeza
Ana Laura Pereira;Beatriz Moraes;28/08/2024;Shampoo;August;27,1;81,3;3;Super Econômico;Cuiabá;Higiene
Isabel Melo;Raul Correia;27/05/2024;Água Sanitária;May;11,89;47,56;4;Supermercado Central;Cuiabá;Limpeza
Bárbara Ribeiro;Sr. Matheus da Mata;23/10/2024;Sabão em Pó;October;31,07;279,63;9;Supermercado Central;Cuiabá;Limpeza
João Lucas Correia;Arthur Viana;30/05/2024;Shampoo Pet;May;45,54;409,86;9;Supermercado Central;Rondonópolis;Pet
Elisa Alves;Lívia Pinto;29/07/2024;Detergente;July;40,79;285,53;7;Super Econômico;Cuiabá;Limpeza
Dra. Clara da Paz;Enzo Farias;23/09/2024;Esponja;September;14,75;118,0;8;Super Econômico;Cuiabá;Limpeza
Elisa Alves;Camila Farias;24/06/2024;Sabão em Pó;June;32,55;130,2;4;Atacadão Popular;Várzea Grande;Limpeza
Ana Laura Pereira;Thomas Teixeira;23/12/2024;Desodorante;December;36,48;255,36;7;Atacadão Popular;Sinop;Higiene
João Lucas Correia;Sr. Matheus da Mata;06/01/2025;Desodorante;January;7,94;79,4;10;Supermercado Central;Tangará da Serra;Higiene
Samuel Nascimento;Henrique Peixoto;01/10/2024;Areia Higiênica;October;17,61;70,44;4;Super Econômico;Sinop;Pet
Ana Laura Pereira;Srta. Amanda Pinto;03/02/2025;Arroz;February;6,51;32,55;5;Super Econômico;Várzea Grande;Alimentos
Giovanna Alves;Luna Almeida;10/12/2024;Desinfetante;December;11,14;77,98;7;Supermercado Central;Várzea Grande;Limpeza
Bárbara Ribeiro;Sra. Agatha Jesus;22/01/2025;Cerveja;January;34,83;348,3;10;Supermercado Central;Várzea Grande;Bebidas
Ana Laura Pereira;Sr. Gustavo Mendes;02/01/2025;Papel Higiênico;January;2,07;2,07;1;Atacadão Popular;Cuiabá;Higiene
Dra. Clara da Paz;Leonardo Duarte;11/09/2024;Feijão;September;16,07;80,35;5;Supermercado Central;Rondonópolis;Alimentos
Sr. Pietro Moraes;Julia Viana;23/07/2024;Arroz;July;25,08;100,32;4;Atacadão Popular;Sinop;Alimentos
Elisa Alves;Isis Farias;07/06/2024;Açúcar;June;18,9;37,8;2;Supermercado Central;Sinop;Alimentos
Dr. Vitor Gabriel Almeida;Nina Almeida;30/04/2024;Arroz;April;34,84;139,36;4;Mercado do Bairro;Várzea Grande;Alimentos
Dra. Lívia Gonçalves;Stephany Araújo;27/10/2024;Água Mineral;October;28,42;227,36;8;Atacadão Popular;Rondonópolis;Bebidas
Juliana Nunes;Srta. Emanuella Almeida;08/07/2024;Desinfetante;July;23,59;235,9;10;Super Econômico;Sinop;Limpeza
João Vitor Moura;Ryan da Rocha;02/07/2024;Vinho;July;49,05;294,3;6;Super Econômico;Tangará da Serra;Bebidas
Ana Clara Barros;Ana Sophia Viana;13/04/2025;Refrigerante;April;33,66;235,62;7;Atacadão Popular;Várzea Grande;Bebidas
João Lucas Correia;Sra. Mariana Nunes;18/07/2024;Papel Higiênico;July;5,78;11,56;2;Mercado do Bairro;Rondonópolis;Higiene
Rafaela Cunha;Luigi Barbosa;07/12/2024;Sabonete;December;29,87;89,61;3;Mercado do Bairro;Rondonópolis;Higiene
Ryan Azevedo;Clarice da Conceição;28/01/2025;Ração para Cães;January;28,08;84,24;3;Mercado do Bairro;Rondonópolis;Pet
João Lucas Correia;Rafaela Ramos;06/05/2024;Sabonete;May;8,35;75,15;9;Super Econômico;Tangará da Serra;Higiene
João Lucas Correia;Sr. Thomas Porto;30/01/2025;Sabão em Pó;January;6,68;20,04;3;Mercado do Bairro;Rondonópolis;Limpeza
Ana Laura Pereira;Srta. Emanuella Almeida;16/06/2024;Petisco;June;10,55;73,85;7;Super Econômico;Várzea Grande;Pet
Giovanna Alves;Joana Novaes;17/07/2024;Desodorante;July;29,86;209,02;7;Supermercado Central;Várzea Grande;Higiene
Sr. Pietro Moraes;André Freitas;06/11/2024;Petisco;November;43,58;87,16;2;Super Econômico;Cuiabá;Pet
Luna das Neves;Dra. Melissa Almeida;14/02/2025;Areia Higiênica;February;49,67;248,35;5;Mercado do Bairro;Cuiabá;Pet
Dra. Clara da Paz;Alana Novaes;25/06/2024;Petisco;June;40,73;81,46;2;Supermercado Central;Tangará da Serra;Pet
Isabel Melo;Dr. Lorenzo Teixeira;17/12/2024;Água Sanitária;December;10,31;72,17;7;Mercado do Bairro;Tangará da Serra;Limpeza
Dr. Vitor Gabriel Almeida;Davi Luiz Gonçalves;13/04/2025;Sabão em Pó;April;45,85;458,5;10;Atacadão Popular;Várzea Grande;Limpeza
Dra. Lívia Gonçalves;Dr. Lorenzo Teixeira;26/01/2025;Óleo;January;3,88;27,16;7;Super Econômico;Cuiabá;Alimentos
Elisa Alves;Sr. Davi Lucas Castro;12/01/2025;Petisco;January;7,17;35,85;5;Atacadão Popular;Várzea Grande;Pet
Samuel Nascimento;Sra. Agatha Jesus;23/05/2024;Areia Higiênica;May;26,71;240,39;9;Supermercado Central;Rondonópolis;Pet
Dra. Lívia Gonçalves;Benício Rodrigues;24/12/2024;Esponja;December;38,38;38,38;1;Atacadão Popular;Cuiabá;Limpeza
Bárbara Ribeiro;Felipe Cardoso;08/04/2025;Sabão em Pó;April;5,7;5,7;1;Mercado do Bairro;Tangará da Serra;Limpeza
Vitória Martins;Julia Viana;16/04/2025;Feijão;April;36,06;144,24;4;Mercado do Bairro;Tangará da Serra;Alimentos
Giovanna Alves;Evelyn Sales;19/01/2025;Água Sanitária;January;40,7;284,9;7;Supermercado Central;Várzea Grande;Limpeza
Rafaela Cunha;Arthur Viana;12/02/2025;Vinho;February;37,25;37,25;1;Super Econômico;Sinop;Bebidas
João Lucas Correia;Ana Clara da Cunha;01/05/2024;Shampoo;May;14,71;58,84;4;Super Econômico;Tangará da Serra;Higiene
Milena Pires;Beatriz da Rosa;25/03/2025;Petisco;March;4,24;38,16;9;Super Econômico;Várzea Grande;Pet
Vitória Martins;Nicolas Cunha;04/12/2024;Óleo;December;12,93;64,65;5;Mercado do Bairro;Sinop;Alimentos
Vitória Martins;Calebe Mendes;05/05/2024;Detergente;May;8,94;62,58;7;Mercado do Bairro;Várzea Grande;Limpeza
Bárbara Ribeiro;Sra. Catarina Almeida;17/09/2024;Desodorante;September;22,57;203,13;9;Supermercado Central;Rondonópolis;Higiene
Vitória Martins;Nina Almeida;11/03/2025;Shampoo;March;47,43;189,72;4;Mercado do Bairro;Sinop;Higiene
Giovanna Alves;Maria Sophia Pinto;31/10/2024;Desinfetante;October;22,95;160,65;7;Mercado do Bairro;Rondonópolis;Limpeza
Dr. Vitor Gabriel Almeida;Luiz Felipe Freitas;31/08/2024;Sabão em Pó;August;47,74;238,7;5;Supermercado Central;Rondonópolis;Limpeza
Ana Laura Pereira;Calebe Mendes;29/01/2025;Detergente;January;30,97;154,85;5;Mercado do Bairro;Sinop;Limpeza
Milena Pires;Pedro Henrique Ramos;12/11/2024;Desodorante;November;34,63;173,15;5;Super Econômico;Tangará da Serra;Higiene
Dra. Lívia Gonçalves;Sr. Gustavo Mendes;04/05/2024;Macarrão;May;28,84;115,36;4;Mercado do Bairro;Sinop;Alimentos
Sr. Pietro Moraes;Gabrielly Farias;13/01/2025;Shampoo;January;29,11;87,33;3;Super Econômico;Várzea Grande;Higiene
Bárbara Ribeiro;Enzo Farias;26/05/2024;Esponja;May;43,87;175,48;4;Super Econômico;Sinop;Limpeza
Samuel Nascimento;Gabrielly Farias;03/10/2024;Sabão em Pó;October;9,91;99,1;10;Supermercado Central;Sinop;Limpeza
Sr. Pietro Moraes;Sr. Thomas Porto;22/10/2024;Refrigerante;October;25,97;259,7;10;Supermercado Central;Várzea Grande;Bebidas
Giovanna Alves;Marcos Vinicius Pereira;27/11/2024;Petisco;November;46,8;187,2;4;Atacadão Popular;Cuiabá;Pet
Dra. Clara da Paz;Paulo Martins;26/07/2024;Areia Higiênica;July;27,64;248,76;9;Super Econômico;Sinop;Pet
Rafaela Cunha;Luna Almeida;22/08/2024;Ração para Cães;August;4,18;20,9;5;Supermercado Central;Tangará da Serra;Pet
Ana Clara Barros;Felipe Cardoso;24/06/2024;Macarrão;June;33,8;270,4;8;Supermercado Central;Várzea Grande;Alimentos
Davi Luiz Silveira;Joana Campos;21/11/2024;Ração para Gatos;November;44,29;132,87;3;Super Econômico;Sinop;Pet
Dra. Clara da Paz;Sra. Esther Silveira;11/06/2024;Detergente;June;28,08;140,4;5;Supermercado Central;Sinop;Limpeza
Vitória Martins;Arthur Viana;25/12/2024;Shampoo;December;4,74;14,22;3;Super Econômico;Tangará da Serra;Higiene
João Lucas Correia;Sr. Otávio Souza;14/11/2024;Água Mineral;November;30,27;30,27;1;Supermercado Central;Tangará da Serra;Bebidas
Vitória Martins;Ryan da Rocha;16/08/2024;Refrigerante;August;14,08;28,16;2;Mercado do Bairro;Cuiabá;Bebidas
Ana Clara Barros;Ana Lívia Farias;24/06/2024;Desinfetante;June;38,62;193,1;5;Supermercado Central;Rondonópolis;Limpeza
Davi Luiz Silveira;Srta. Mariane Moraes;12/12/2024;Feijão;December;22,88;45,76;2;Mercado do Bairro;Cuiabá;Alimentos
Ana Laura Pereira;Theo Rezende;28/08/2024;Água Mineral;August;17,4;34,8;2;Atacadão Popular;Sinop;Bebidas
Ryan Azevedo;Emilly Moura;09/02/2025;Feijão;February;46,01;184,04;4;Mercado do Bairro;Sinop;Alimentos
Elisa Alves;Agatha da Rosa;05/11/2024;Óleo;November;6,47;12,94;2;Atacadão Popular;Cuiabá;Alimentos
Dr. Vitor Gabriel Almeida;Srta. Emanuella Almeida;08/02/2025;Sabão em Pó;February;47,85;478,5;10;Supermercado Central;Rondonópolis;Limpeza
Ana Laura Pereira;Daniel Martins;04/02/2025;Refrigerante;February;29,84;149,2;5;Supermercado Central;Tangará da Serra;Bebidas
Ryan Azevedo;Davi Luiz Gonçalves;23/08/2024;Óleo;August;38,67;348,03;9;Super Econômico;Tangará da Serra;Alimentos
Ryan Azevedo;Julia Viana;21/02/2025;Óleo;February;37,36;74,72;2;Supermercado Central;Tangará da Serra;Alimentos
Sr. Pietro Moraes;Luiz Gustavo Nascimento;23/08/2024;Sabão em Pó;August;15,12;136,08;9;Supermercado Central;Sinop;Limpeza
João Lucas Correia;Beatriz Moraes;24/10/2024;Óleo;October;11,41;45,64;4;Mercado do Bairro;Tangará da Serra;Alimentos
Bárbara Ribeiro;Dra. Melissa Almeida;25/07/2024;Cerveja;July;9,17;27,51;3;Atacadão Popular;Várzea Grande;Bebidas
Juliana Nunes;Sra. Catarina Almeida;27/01/2025;Creme Dental;January;18,77;37,54;2;Mercado do Bairro;Sinop;Higiene
Vitória Martins;Sr. Thomas Porto;19/10/2024;Papel Higiênico;October;3,49;13,96;4;Super Econômico;Rondonópolis;Higiene
Ana Clara Barros;Nina Costa;13/06/2024;Água Mineral;June;9,89;29,67;3;Atacadão Popular;Sinop;Bebidas
João Lucas Correia;Dra. Isadora da Luz;08/05/2024;Desinfetante;May;6,21;12,42;2;Mercado do Bairro;Cuiabá;Limpeza
Ryan Azevedo;Clarice da Conceição;22/03/2025;Shampoo;March;20,97;167,76;8;Super Econômico;Sinop;Higiene
Isabel Melo;Manuela Lima;08/12/2024;Arroz;December;11,41;11,41;1;Mercado do Bairro;Tangará da Serra;Alimentos
Milena Pires;Beatriz da Rosa;19/08/2024;Açúcar;August;30,3;151,5;5;Mercado do Bairro;Cuiabá;Alimentos
Bárbara Ribeiro;Isis Farias;03/02/2025;Suco;February;2,38;19,04;8;Super Econômico;Tangará da Serra;Bebidas
Ana Laura Pereira;Luiz Felipe Freitas;03/08/2024;Arroz;August;14,38;71,9;5;Super Econômico;Cuiabá;Alimentos
Isabel Melo;Luigi Barbosa;18/04/2025;Desodorante;April;38,31;153,24;4;Atacadão Popular;Rondonópolis;Higiene
João Lucas Correia;Evelyn Azevedo;18/04/2025;Desodorante;April;41,34;372,06;9;Supermercado Central;Rondonópolis;Higiene
Rafaela Cunha;Sr. Davi Lucas Castro;15/09/2024;Sabão em Pó;September;43,54;391,86;9;Super Econômico;Cuiabá;Limpeza
João Vitor Moura;João Rocha;16/10/2024;Creme Dental;October;16,4;32,8;2;Super Econômico;Sinop;Higiene
Vitória Martins;Nina Almeida;18/07/2024;Vinho;July;40,63;284,41;7;Mercado do Bairro;Sinop;Bebidas
Ana Clara Barros;Dr. Davi Duarte;05/05/2024;Areia Higiênica;May;33,65;33,65;1;Super Econômico;Cuiabá;Pet
Dr. Vitor Gabriel Almeida;Luigi Barbosa;22/05/2024;Ração para Gatos;May;10,0;20,0;2;Super Econômico;Cuiabá;Pet
Dra. Clara da Paz;João Vitor Rezende;24/09/2024;Óleo;September;17,12;171,2;10;Atacadão Popular;Rondonópolis;Alimentos
Ryan Azevedo;João Rocha;06/04/2025;Areia Higiênica;April;29,65;118,6;4;Supermercado Central;Várzea Grande;Pet
Dra. Lívia Gonçalves;Joana Novaes;18/09/2024;Óleo;September;38,19;76,38;2;Super Econômico;Cuiabá;Alimentos
Bárbara Ribeiro;Marcos Vinicius Pereira;03/06/2024;Ração para Gatos;June;19,96;119,76;6;Super Econômico;Várzea Grande;Pet
Davi Luiz Silveira;Dra. Isadora da Luz;03/05/2024;Óleo;May;41,04;205,2;5;Mercado do Bairro;Cuiabá;Alimentos
Ana Clara Barros;Igor Gonçalves;15/05/2024;Suco;May;11,0;11,0;1;Mercado do Bairro;Sinop;Bebidas
Davi Luiz Silveira;Sr. Matheus da Mata;18/08/2024;Macarrão;August;15,29;91,74;6;Atacadão Popular;Tangará da Serra;Alimentos
Ana Laura Pereira;Thomas Nunes;03/04/2025;Creme Dental;April;8,45;76,05;9;Atacadão Popular;Várzea Grande;Higiene
Vitória Martins;Thomas Nunes;30/05/2024;Creme Dental;May;14,72;147,2;10;Super Econômico;Rondonópolis;Higiene
Isabel Melo;Maria Clara da Rosa;20/09/2024;Cerveja;September;39,61;158,44;4;Mercado do Bairro;Várzea Grande;Bebidas
Dra. Lívia Gonçalves;Dr. Davi Duarte;31/10/2024;Refrigerante;October;3,78;11,34;3;Atacadão Popular;Rondonópolis;Bebidas
Bárbara Ribeiro;Marcos Vinicius Pereira;08/05/2024;Feijão;May;2,13;21,3;10;Super Econômico;Sinop;Alimentos
Rafaela Cunha;Calebe Mendes;01/01/2025;Ração para Cães;January;16,04;32,08;2;Supermercado Central;Sinop;Pet
Ana Clara Barros;Sr. Otávio Souza;26/07/2024;Feijão;July;10,13;101,3;10;Mercado do Bairro;Várzea Grande;Alimentos
Isabel Melo;Daniel Martins;21/12/2024;Desinfetante;December;20,05;160,4;8;Mercado do Bairro;Rondonópolis;Limpeza
Dra. Clara da Paz;Ana Lívia Farias;15/09/2024;Areia Higiênica;September;40,51;202,55;5;Super Econômico;Sinop;Pet
Giovanna Alves;Davi Luiz Gonçalves;30/05/2024;Feijão;May;32,84;262,72;8;Atacadão Popular;Cuiabá;Alimentos
Samuel Nascimento;Bernardo Cardoso;06/01/2025;Feijão;January;16,9;50,7;3;Supermercado Central;Várzea Grande;Alimentos
Milena Pires;Dra. Melissa Almeida;01/08/2024;Óleo;August;4,91;49,1;10;Atacadão Popular;Rondonópolis;Alimentos
Milena Pires;Sophie Nascimento;18/07/2024;Desinfetante;July;20,9;188,1;9;Atacadão Popular;Cuiabá;Limpeza
João Lucas Correia;Leonardo Moreira;29/07/2024;Óleo;July;6,03;24,12;4;Super Econômico;Sinop;Alimentos
Juliana Nunes;Daniel Martins;21/10/2024;Óleo;October;23,79;214,11;9;Atacadão Popular;Sinop;Alimentos
Davi Luiz Silveira;Ana Carolina Nascimento;08/02/2025;Água Mineral;February;9,98;19,96;2;Atacadão Popular;Rondonópolis;Bebidas
Luna das Neves;Fernanda Aragão;01/05/2024;Açúcar;May;38,56;77,12;2;Atacadão Popular;Tangará da Serra;Alimentos
